"","OID_","Field1","Lake","Project","Time","PercentCoverage","Depth","POINT_X","POINT_Y","geometry","id_point","fetch_km","weighted_fetch_km","fetch_km_all","weighted_fetch_km_all"
"375",672,672,"G-Bay","IMRP","2024-09-10T18:52:19Z",90,80,-79.8613789999999,44.8676750000001,c(589947.108336267, 4968881.49497805),375,0.0162503948969332,0.0162503948969332,0.747911322276094,0.747911322276094
"376",673,673,"G-Bay","IMRP","2024-09-10T18:52:31Z",90,75,-79.861395,44.8676620000001,c(589945.864638921, 4968880.0331524),376,0.0151966417030947,0.0151966417030947,0.747477541649904,0.747477541649904
"377",674,674,"G-Bay","IMRP","2024-09-10T18:52:42Z",100,60,-79.861411,44.8676550000001,c(589944.611595826, 4968879.23783626),377,0.014040406324851,0.014040406324851,0.813795987903397,0.813795987903397
"378",675,675,"G-Bay","IMRP","2024-09-10T18:52:56Z",100,50,-79.861432,44.867649,c(589942.962011764, 4968878.54806725),378,0.0124684036270105,0.0124684036270105,0.813210522923377,0.813210522923377
"379",676,676,"G-Bay","IMRP","2024-09-10T18:53:03Z",90,20,-79.8614699999999,44.867649,c(589939.960139814, 4968878.50597926),379,0.00943838432806982,0.00943838432806982,0.811910768789673,0.811910768789673
"380",677,677,"G-Bay","IMRP","2024-09-10T18:53:13Z",90,10,-79.861488,44.8676610000001,c(589938.519511378, 4968879.81906184),380,0.00779815009710627,0.00779815009710627,0.811179821304743,0.811179821304743
"381",678,678,"G-Bay","IMRP","2024-09-10T18:53:30Z",50,20,-79.8614719999999,44.8676770000001,c(589939.75853806, 4968881.61414067),381,0.0088006646542055,0.0088006646542055,0.811584604572614,0.811584604572614
"382",679,679,"G-Bay","IMRP","2024-09-10T18:53:41Z",100,20,-79.861454,44.867693,c(589941.155557169, 4968883.4114349),382,0.00996265303586106,0.00996265303586106,0.812056077548855,0.812056077548855
"383",680,680,"G-Bay","IMRP","2024-09-10T18:54:25Z",50,50,-79.861412,44.8676740000001,c(589944.503006164, 4968881.34734129),383,0.013636144038113,0.013636144038113,0.813597853344145,0.813597853344145
"384",681,681,"G-Bay","IMRP","2024-09-10T18:54:33Z",75,50,-79.861414,44.8676970000001,c(589944.309189869, 4968883.90007822),384,0.0130838234750603,0.0130838234750603,0.746528668099679,0.746528668099679
"385",682,682,"G-Bay","IMRP","2024-09-10T18:54:44Z",100,30,-79.861412,44.867717,c(589944.436032408, 4968886.12399098),385,0.0129016927963042,0.0129016927963042,0.719226766826256,0.719226766826256
