"","OID_","Field1","Lake","Project","Time","PercentCoverage","Depth","POINT_X","POINT_Y","geometry","id_point","fetch_km","weighted_fetch_km","fetch_km_all","weighted_fetch_km_all"
"181",181,181,"Ontario","IMRP","2024-08-07T18:19:33Z",30,40,-77.068076,44.0668850000001,c(814892.477175948, 4886822.36922313),181,0.00111212431994501,0.00111212431994501,1.18817603720785,1.18817603720785
"182",182,182,"Ontario","IMRP","2024-08-07T18:19:56Z",60,50,-77.068091,44.0668650000001,c(814891.382021061, 4886820.09023803),182,0.00273750090179753,0.00273750090179753,1.18926205326703,1.18926205326703
"183",183,183,"Ontario","IMRP","2024-08-07T18:20:27Z",0,25,-77.068189,44.0668460000001,c(814883.634060398, 4886817.60456004),183,0.0012023677888288,0.0012023677888288,1.18760900288644,1.18760900288644
"184",184,184,"Ontario","IMRP","2024-08-07T18:20:52Z",20,35,-77.068237,44.0668200000001,c(814879.927779195, 4886814.53276962),184,0.002664309810772,0.002664309810772,1.18750973410032,1.18750973410032
"185",185,185,"Ontario","IMRP","2024-08-07T18:21:10Z",20,39,-77.068254,44.066812,c(814878.608721203, 4886813.57906338),185,0.00321591183356976,0.00321591183356976,1.18751201958812,1.18751201958812
"186",186,186,"Ontario","IMRP","2024-08-07T18:21:35Z",20,34,-77.068302,44.066803,c(814874.812171397, 4886812.39559834),186,0.00266152583400447,0.00266152583400447,1.1869588613873,1.1869588613873
"187",187,187,"Ontario","IMRP","2024-08-07T18:22:00Z",10,34,-77.068344,44.0667910000001,c(814871.51209142, 4886810.90187243),187,0.00218067804635727,0.00218067804635727,0.960024802567009,0.960024802567009
"188",188,188,"Ontario","IMRP","2024-08-07T18:22:33Z",0,37,-77.068403,44.066761,c(814866.946044583, 4886807.34366667),188,0.0012691053420653,0.0012691053420653,0.958845148161057,0.958845148161057
"189",189,189,"Ontario","IMRP","2024-08-07T18:23:23Z",10,40,-77.0685589999999,44.0666900000001,c(814854.828899629, 4886798.85993897),189,0.00136193067233277,0.00136193067233277,0.97534767433484,0.97534767433484
"190",190,190,"Ontario","IMRP","2024-08-07T18:23:35Z",0,33,-77.0685799999999,44.0666860000001,c(814853.168235936, 4886798.33523666),190,0.00123622027758755,0.00123622027758755,1.05299915412763,1.05299915412763
"191",191,191,"Ontario","IMRP","2024-08-07T18:23:55Z",0,34,-77.068619,44.066675,c(814850.103107072, 4886796.96408428),191,0.00143118691908832,0.00143118691908832,1.05288503724743,1.05288503724743
"192",192,192,"Ontario","IMRP","2024-08-07T18:24:28Z",0,30,-77.0686949999999,44.066654,c(814844.127717859, 4886794.34051785),192,0.000800073266292075,0.000800073266292075,1.05204387888827,1.05204387888827
"193",193,193,"Ontario","IMRP","2024-08-07T18:25:16Z",0,27,-77.069084,44.066517,c(814813.699764272, 4886777.63383289),193,0.00301541188234939,0.00301541188234939,1.30216931774473,1.30216931774473
